5,1,5,5
101,149,104,-91,-111
-48,75,51,-34,-44
183,37,37,140,113
-24,29,146,256,87
-44,19,67,174,88
-113,-252,-69,35,129
-99,-17,198,140,-102
-103,313,56,258,1
41,252,194,-23,174
143,-71,-53,-172,99
-145,-211,-360,-351,-138
-151,-195,-149,-224,-154
-45,-88,-123,56,161
76,85,325,163,254
8,225,269,273,166
-47,-189,-189,-187,-77
-119,-279,-254,-84,226
-201,-294,-192,160,300
-279,-255,56,262,241
-182,-104,254,287,251
80,-33,-141,-108,22
99,-130,-86,-135,-114
45,-58,-59,-184,-62
44,-138,-205,-67,-70
102,-13,-107,-142,-186
